cv;merc;tipo;vecto;qted;txop;mercadoria;cotacao;data_de_insercao
V;Futuro;Normal;20022024;477;0,08;MGLU3;292,77;2024-08-20
V;Futuro;Normal;16022024;133;0,03;BBAS3;255,64;2024-08-20
V;Futuro;Normal;12022024;279;0,03;CIEL3;238,98;2024-08-20
V;Futuro;Normal;13022024;156;0,03;EGIE3;291,25;2024-08-20
V;Futuro;Normal;21022024;182;0,05;VALE3;310,98;2024-08-20
C;Futuro;Normal;21022024;161;0,08;PETR4;179,25;2024-08-20
C;Futuro;Normal;13022024;384;0,09;BBDC4;150,06;2024-08-20
V;Futuro;Normal;15022024;322;0,04;B3SA3;81,24;2024-08-20
C;Futuro;Normal;12022024;339;0,04;BBDC4;146,58;2024-08-20
C;Futuro;Normal;20022024;465;0,05;LREN3;419,12;2024-08-20
C;Futuro;Normal;18022024;473;0,05;BBAS3;279,69;2024-08-20
V;Futuro;Normal;20022024;117;0,08;WEGE3;283,43;2024-08-20
V;Futuro;Normal;14022024;428;0,07;RENT3;214,81;2024-08-20
V;Futuro;Normal;14022024;368;0;RENT3;90,84;2024-08-20
C;Futuro;Normal;12022024;429;0;PETR4;407,26;2024-08-20
C;Futuro;Normal;18022024;219;0,1;VALE3;167,06;2024-08-20
