cv;merc;tipo;vecto;qted;txop;mercadoria;cotacao;data_de_insercao
V;Futuro;Normal;02022024;275;0,09;CIEL3;185,73;2024-08-20
C;Futuro;Normal;06022024;108;0,07;LREN3;166,59;2024-08-20
V;Futuro;Normal;28012024;273;0,02;LREN3;293,56;2024-08-20
C;Futuro;Normal;04022024;493;0,04;ABEV3;421,65;2024-08-20
V;Futuro;Normal;28012024;337;0,08;MGLU3;348,86;2024-08-20
V;Futuro;Normal;06022024;97;0,02;PETR4;402,35;2024-08-20
V;Futuro;Normal;01022024;308;0,07;BRFS3;412,16;2024-08-20
C;Futuro;Normal;02022024;178;0,06;MGLU3;405,38;2024-08-20
C;Futuro;Normal;02022024;262;0,01;EGIE3;190,79;2024-08-20
C;Futuro;Normal;03022024;355;0,1;ITUB4;467,04;2024-08-20
